Nomor Putusan,Tempat Domisili,Jenis Kelamin Penggugat,Jenis Kelamin Tergugat,Tanggal Pernikahan,Tanggal Perceraian,Umur Pernikahan,Jumlah Bulan,Pertengkaran,Perselingkuhan,KDRT,Ekonomi,Status Gugatan,Tahun Perceraian,Bulan Perceraian
10/Pdt.G/2024/PN.Bks,Rawalumbu,Perempuan,Laki Laki,,,,,0,0,0,0,Cabut Laporan,,
12/Pdt.G/2024/PN.Bks,Bekasi Utara,Laki Laki,Perempuan,2021-01-14,2024-03-06,3 tahun 1 bulan,37.0,1,0,0,0,Dikabulkan,2024.0,3.0
13/Pdt.G/2024/PN.Bks,Bekasi Utara,Perempuan,Laki Laki,2006-07-15,2024-05-07,17 tahun 9 bulan,213.0,1,1,1,1,Dikabulkan,2024.0,5.0
18/Pdt.G/2024/PN.Bks,Jatisampurna,Tidak diketahui,Tidak diketahui,2007-06-16,,,,1,0,0,0,Gugur,,
23/Pdt.G/2024/PN.Bks,Bekasi Barat,Perempuan,Laki Laki,2016-11-12,2024-05-06,7 tahun 5 bulan,89.0,1,0,1,0,Dikabulkan,2024.0,5.0
26/Pdt.G/2024/PN Bks,Bekasi Timur,Perempuan,Laki Laki,2007-04-16,2024-05-08,17 tahun 0 bulan,204.0,1,0,1,1,Dikabulkan,2024.0,5.0
33/Pdt.G/2024/PN Bks,Pondokgede,Perempuan,Laki Laki,2013-11-02,2024-04-02,10 tahun 5 bulan,125.0,1,0,1,1,Dikabulkan,2024.0,4.0
37/Pdt.G/2024/PN Bks,Rawalumbu,Laki Laki,Perempuan,1998-12-05,2024-03-21,25 tahun 3 bulan,303.0,1,0,0,1,Dikabulkan,2024.0,3.0
42/Pdt.G/2024/PN Bks,Bekasi Barat,Laki Laki,Perempuan,2021-02-21,2024-03-26,3 tahun 1 bulan,37.0,1,1,0,0,Dikabulkan,2024.0,3.0
50/Pdt.G/2024/PN Bks,Rawalumbu,Perempuan,Laki Laki,2000-01-16,2015-08-11,15 tahun 6 bulan,186.0,1,1,0,0,Dikabulkan,2015.0,8.0
56/Pdt.G/2024/PN Bks,Bekasi Selatan,Perempuan,Laki Laki,1994-10-22,2024-03-28,29 tahun 5 bulan,353.0,0,1,0,0,Dikabulkan,2024.0,3.0
57/Pdt.G/2024/PN Bks,Bekasi Utara,Perempuan,Laki Laki,2014-11-08,2024-03-28,9 tahun 4 bulan,112.0,1,0,1,1,Dikabulkan,2024.0,3.0
62/Pdt.G/2024/PN Bks,Pondokgede,Tidak diketahui,Tidak diketahui,2016-12-18,2024-05-14,7 tahun 4 bulan,88.0,0,0,0,1,Dikabulkan,2024.0,5.0
66/Pdt.G/2024/PN Bks,Rawalumbu,Perempuan,Laki Laki,2003-05-24,2024-07-02,21 tahun 1 bulan,253.0,1,0,0,1,Dikabulkan,2024.0,7.0
73/Pdt.G/2024/PN Bks,Pondok Melati,Laki Laki,Perempuan,2002-12-03,2024-07-25,21 tahun 7 bulan,259.0,0,1,0,0,Dikabulkan,2024.0,7.0
80/Pdt.G/2024/PN Bks,Tambun Utara,Laki Laki,Perempuan,2017-07-09,2024-05-17,6 tahun 10 bulan,82.0,0,1,0,0,Dikabulkan,2024.0,5.0
84/Pdt.G/2024/PN Bks,Bekasi Utara,Perempuan,Laki Laki,2012-08-15,2024-05-06,11 tahun 8 bulan,140.0,1,0,0,1,Dikabulkan,2024.0,5.0
86/Pdt.G/2024/PN Bks,Pondokgede,Perempuan,Laki Laki,2019-11-09,2024-05-06,4 tahun 5 bulan,53.0,1,1,0,1,Dikabulkan,2024.0,5.0
87/Pdt.G/2024/PN Bks,Bekasi Utara,Perempuan,Laki Laki,2012-05-14,2024-05-07,11 tahun 11 bulan,143.0,1,1,0,1,Dikabulkan,2024.0,5.0
88/Pdt.G/2024/PN Bks,Bekasi Selatan,Tidak diketahui,Tidak diketahui,,,,,0,0,0,0,Cabut Laporan,,
94/Pdt.G/2024/PN Bks,Pondokgede,Perempuan,Laki Laki,2004-05-22,2024-05-30,20 tahun 0 bulan,240.0,1,0,0,1,Dikabulkan,2024.0,5.0
97/Pdt.G/2024/PN Bks,Pondokgede,Perempuan,Laki Laki,,,,,0,0,0,0,Cabut Laporan,,
100/Pdt.G/2024/PN Bks,Bekasi Selatan,Perempuan,Laki Laki,2015-12-29,2024-05-14,8 tahun 4 bulan,100.0,0,1,0,1,Dikabulkan,2024.0,5.0
103/Pdt.G/2024/PN Bks,Pondokgede,Laki Laki,Perempuan,2018-09-02,2024-05-07,5 tahun 8 bulan,68.0,1,0,0,0,Dikabulkan,2024.0,5.0
104/Pdt.G/2024/PN Bks,Rawalumbu,Perempuan,Laki Laki,2004-12-19,2024-05-02,19 tahun 4 bulan,232.0,1,0,0,1,Dikabulkan,2024.0,5.0
105/Pdt.G/2024/PN Bks,Jatiasih,Perempuan,Laki Laki,2008-06-07,2024-05-21,15 tahun 11 bulan,191.0,1,0,0,0,Dikabulkan,2024.0,5.0
113/Pdt.G/2024/PN Bks,Jatiasih,Perempuan,Laki Laki,2016-08-26,2024-08-22,7 tahun 11 bulan,95.0,1,1,1,1,Dikabulkan,2024.0,8.0
114/Pdt.G/2024/PN Bks,Kota Bekasi,Perempuan,Laki Laki,2016-09-06,2024-10-03,8 tahun 0 bulan,96.0,1,0,1,1,Dikabulkan,2024.0,10.0
116/Pdt.G/2024/PN Bks,Jatiasih,Perempuan,Laki Laki,2020-10-06,,,,1,0,0,1,Gugur,,
118/Pdt.G/2024/PN Bks,Pondokgede,Laki Laki,Perempuan,2005-12-09,2024-09-12,18 tahun 9 bulan,225.0,1,1,0,0,Dikabulkan,2024.0,9.0
119/Pdt.G/2024/PN Bks,Jatisampurna,Laki Laki,Perempuan,2021-01-16,2024-07-30,3 tahun 6 bulan,42.0,1,0,1,0,Dikabulkan,2024.0,7.0
129/Pdt.G/2024/PN Bks,Pondokgede,Laki Laki,Perempuan,2005-09-17,2024-10-10,19 tahun 0 bulan,228.0,1,1,0,0,Dikabulkan,2024.0,10.0
132/Pdt.G/2024/PN Bks,Kota Bekasi,Perempuan,Laki Laki,2013-09-14,2024-09-03,10 tahun 11 bulan,131.0,1,0,0,1,Dikabulkan,2024.0,9.0
137/Pdt.G/2024/PN Bks,Rawalumbu,Perempuan,Laki Laki,2023-04-15,2024-03-18,0 tahun 11 bulan,11.0,1,0,0,0,Dikabulkan,2024.0,3.0
139/Pdt.G/2024/PN Bks,Bekasi Timur,Perempuan,Laki Laki,2016-06-18,2024-05-28,7 tahun 11 bulan,95.0,1,0,0,1,Dikabulkan,2024.0,5.0
142/Pdt.G/2024/PN Bks,Bekasi Timur,Perempuan,Laki Laki,2009-09-26,2024-09-24,14 tahun 11 bulan,179.0,1,1,1,1,Dikabulkan,2024.0,9.0
154/Pdt.G/2024/PN Bks,Bekasi Timur,Perempuan,Laki Laki,2018-02-10,2024-06-11,6 tahun 4 bulan,76.0,1,0,0,1,Dikabulkan,2024.0,6.0
165/Pdt.G/2024/PN Bks,Bekasi Utara,Perempuan,Laki Laki,1996-12-23,2024-05-28,27 tahun 5 bulan,329.0,1,0,0,1,Dikabulkan,2024.0,5.0
171/Pdt.G/2024/PN Bks,Pondok Melati,Perempuan,Laki Laki,2022-04-25,2024-06-04,2 tahun 1 bulan,25.0,1,0,0,1,Dikabulkan,2024.0,6.0
173/Pdt.G/2024/PN Bks,Bekasi Utara,Laki Laki,Perempuan,2006-11-27,,,,1,0,1,0,Ditolak,,
178/Pdt.G/2024/PN Bks,Bekasi Timur,Perempuan,Laki Laki,2004-12-27,2024-05-22,19 tahun 4 bulan,232.0,1,1,0,0,Dikabulkan,2024.0,5.0
179/Pdt.G/2024/PN Bks,Pondokgede,Perempuan,Laki Laki,2001-12-29,2024-06-07,22 tahun 5 bulan,269.0,1,0,0,1,Dikabulkan,2024.0,6.0
180/Pdt.G/2024/PN Bks,Bekasi Selatan,Laki Laki,Perempuan,2015-12-05,2024-08-22,8 tahun 8 bulan,104.0,1,1,0,0,Dikabulkan,2024.0,8.0
182/Pdt.G/2024/PN Bks,Medan Satria,Perempuan,Laki Laki,2007-12-01,2024-08-16,16 tahun 8 bulan,200.0,1,0,0,1,Dikabulkan,2024.0,8.0
183/Pdt.G/2024/PN Bks,Pondokgede,Perempuan,Laki Laki,2018-11-03,2024-06-20,5 tahun 7 bulan,67.0,1,0,0,1,Dikabulkan,2024.0,6.0
187/Pdt.G/2024/PN Bks,Bekasi Barat,Laki Laki,Perempuan,1994-10-06,2024-07-16,29 tahun 9 bulan,357.0,1,0,0,1,Dikabulkan,2024.0,7.0
190/Pdt.G/2024/PN Bks,Bekasi Barat,Perempuan,Laki Laki,2008-03-14,2024-10-31,16 tahun 7 bulan,199.0,1,0,1,0,Dikabulkan,2024.0,10.0
194/Pdt.G/2024/PN Bks,Bekasi Barat,Perempuan,Laki Laki,2021-12-04,2024-06-20,2 tahun 6 bulan,30.0,1,0,1,0,Dikabulkan,2024.0,6.0
196/Pdt.G/2024/PN Bks,Mustikajaya,Perempuan,Laki Laki,2014-09-20,2024-09-05,9 tahun 11 bulan,119.0,1,0,1,1,Dikabulkan,2024.0,9.0
206/Pdt.G/2024/PN Bks,Bekasi Selatan,Laki Laki,Perempuan,2012-10-27,2024-06-27,11 tahun 8 bulan,140.0,1,0,0,1,Dikabulkan,2024.0,6.0
207/Pdt.G/2024/PN Bks,Bekasi Selatan,Laki Laki,Perempuan,2017-09-23,2024-08-08,6 tahun 10 bulan,82.0,1,0,0,0,Dikabulkan,2024.0,8.0
208/Pdt.G/2024/PN Bks,Bekasi Utara,Laki Laki,Perempuan,2010-02-13,2024-07-08,14 tahun 4 bulan,172.0,1,1,0,1,Dikabulkan,2024.0,7.0
215/Pdt.G/2024/PN Bks,Medan Satria,Perempuan,Laki Laki,2022-12-03,2024-08-29,1 tahun 8 bulan,20.0,1,0,0,1,Dikabulkan,2024.0,8.0
220/Pdt.G/2024/PN Bks,Bekasi Selatan,Perempuan,Laki Laki,2007-05-12,2024-06-26,17 tahun 1 bulan,205.0,1,1,0,1,Dikabulkan,2024.0,6.0
222/Pdt.G/2024/PN Bks,Medan Satria,Laki Laki,Perempuan,2018-09-29,2024-08-22,5 tahun 10 bulan,70.0,1,0,1,0,Dikabulkan,2024.0,8.0
223/Pdt.G/2024/PN Bks,Medan Satria,Perempuan,Laki Laki,2016-06-04,2024-07-09,8 tahun 1 bulan,97.0,1,0,0,1,Dikabulkan,2024.0,7.0
229/Pdt.G/2024/PN Bks,Bekasi Selatan,Perempuan,Laki Laki,2008-05-09,,,,0,0,0,0,Ditolak,,
230/Pdt.G/2024/PN Bks,Jatisampurna,Laki Laki,Perempuan,2008-05-20,2024-09-18,16 tahun 3 bulan,195.0,1,0,0,1,Dikabulkan,2024.0,9.0
244/Pdt.G/2024/PN Bks,Medan Satria,Perempuan,Laki Laki,2000-09-09,2024-10-01,24 tahun 0 bulan,288.0,1,1,1,0,Dikabulkan,2024.0,10.0
245/Pdt.G/2024/PN Bks,Bekasi Selatan,Perempuan,Laki Laki,2010-10-09,2024-07-30,13 tahun 9 bulan,165.0,1,0,0,0,Dikabulkan,2024.0,7.0
246/Pdt.G/2024/PN Bks,Bekasi Utara,Perempuan,Laki Laki,2000-05-13,2024-08-01,24 tahun 2 bulan,290.0,0,0,0,1,Dikabulkan,2024.0,8.0
251/Pdt.G/2024/PN Bks,Rawalumbu,Laki Laki,Perempuan,2020-09-01,2024-09-01,4 tahun 0 bulan,48.0,1,0,0,0,Dikabulkan,2024.0,9.0
253/Pdt.G/2024/PN Bks,Jatisampurna,Perempuan,Laki Laki,2023-02-11,2024-08-13,1 tahun 6 bulan,18.0,1,1,0,1,Dikabulkan,2024.0,8.0
256/Pdt.G/2024/PN Bks,Bekasi Selatan,Laki Laki,Perempuan,2012-11-10,,,,0,0,0,0,Cabut Laporan,,
263/Pdt.G/2024/PN Bks,Rawalumbu,Laki Laki,Perempuan,2011-11-30,2024-08-08,12 tahun 8 bulan,152.0,1,0,0,0,Dikabulkan,2024.0,8.0
264/Pdt.G/2024/PN Bks,Bekasi Selatan,Perempuan,Laki Laki,2007-01-27,2024-08-22,17 tahun 6 bulan,210.0,1,0,0,0,Dikabulkan,2024.0,8.0
265/Pdt.G/2024/PN Bks,Bekasi Selatan,Perempuan,Laki Laki,2023-01-07,2024-08-13,1 tahun 7 bulan,19.0,1,0,0,0,Dikabulkan,2024.0,8.0
268/Pdt.G/2024/PN Bks,Pondokgede,Perempuan,Laki Laki,2018-09-02,2024-08-08,5 tahun 11 bulan,71.0,1,0,0,0,Dikabulkan,2024.0,8.0
274/Pdt.G/2024/PN Bks,Pondokgede,Laki Laki,Perempuan,2018-11-03,2024-07-16,5 tahun 8 bulan,68.0,1,0,0,1,Dikabulkan,2024.0,7.0
275/Pdt.G/2024/PN Bks,Bekasi Selatan,Perempuan,Laki Laki,2018-08-28,2024-07-25,5 tahun 10 bulan,70.0,1,0,1,1,Dikabulkan,2024.0,7.0
280/Pdt.G/2024/PN Bks,Jatiasih,Laki Laki,Perempuan,2017-07-27,2024-08-13,7 tahun 0 bulan,84.0,1,0,1,0,Dikabulkan,2024.0,8.0
281/Pdt.G/2024/PN Bks,Pondokgede,Laki Laki,Perempuan,2019-04-04,2024-07-23,5 tahun 3 bulan,63.0,1,0,0,0,Dikabulkan,2024.0,7.0
285/Pdt.G/2024/PN Bks,Bekasi Utara,Perempuan,Laki Laki,1997-12-27,2024-08-08,26 tahun 7 bulan,319.0,1,0,0,1,Dikabulkan,2024.0,8.0
301/Pdt.G/2024/PN Bks,Pondokgede,Perempuan,Laki Laki,2014-11-24,2024-11-28,10 tahun 0 bulan,120.0,1,0,0,0,Dikabulkan,2024.0,11.0
303/Pdt.G/2024/PN Bks,Jatiasih,Perempuan,Laki Laki,2018-01-13,2024-10-01,6 tahun 8 bulan,80.0,1,0,0,1,Dikabulkan,2024.0,10.0
306/Pdt.G/2024/PN Bks,Bekasi Timur,Perempuan,Laki Laki,2019-03-03,2024-02-22,4 tahun 11 bulan,59.0,1,0,1,1,Dikabulkan,2024.0,2.0
308/Pdt.G/2024/PN Bks,Jatiasih,Perempuan,Laki Laki,2016-04-29,2024-12-10,8 tahun 7 bulan,103.0,1,1,0,1,Dikabulkan,2024.0,12.0
311/Pdt.G/2024/PN Bks,Jatiasih,Perempuan,Laki Laki,2017-01-28,2024-08-29,7 tahun 7 bulan,91.0,1,1,0,0,Dikabulkan,2024.0,8.0
312/Pdt.G/2024/PN Bks,Cipayung,Perempuan,Laki Laki,2018-11-24,2024-08-22,5 tahun 8 bulan,68.0,1,0,1,1,Dikabulkan,2024.0,8.0
314/Pdt.G/2024/PN Bks,Tambun Utara,Perempuan,Laki Laki,2018-10-05,2024-08-28,5 tahun 10 bulan,70.0,1,1,0,0,Dikabulkan,2024.0,8.0
315/Pdt.G/2024/PN Bks,Banten,Laki Laki,Perempuan,1999-06-19,,,,1,0,0,0,Cabut Laporan,,
317/Pdt.G/2024/PN Bks,Bekasi Timur,Perempuan,Laki Laki,1992-08-09,2024-08-28,32 tahun 0 bulan,384.0,1,0,1,0,Dikabulkan,2024.0,8.0
318/Pdt.G/2024/PN Bks,Kelapa Gading,Laki Laki,Perempuan,2007-06-30,2024-09-09,17 tahun 2 bulan,206.0,1,0,0,0,Dikabulkan,2024.0,9.0
327/Pdt.G/2024/PN Bks,Bekasi Utara,Perempuan,Laki Laki,2009-04-07,2024-09-05,15 tahun 4 bulan,184.0,1,1,1,1,Dikabulkan,2024.0,9.0
333/Pdt.G/2024/PN Bks,Tambun Utara,Perempuan,Laki Laki,2009-11-21,2024-08-20,14 tahun 8 bulan,176.0,1,0,0,0,Dikabulkan,2024.0,8.0
334/Pdt.G/2024/PN Bks,Pondok Melati,Perempuan,Laki Laki,2016-12-28,2024-08-26,7 tahun 7 bulan,91.0,1,0,0,0,Dikabulkan,2024.0,8.0
340/Pdt.G/2024/PN Bks,Bekasi Utara,Perempuan,Laki Laki,2006-08-24,,,,1,1,1,0,Cabut Laporan,,
343/Pdt.G/2024/PN Bks,Bekasi Utara,Perempuan,Laki Laki,2000-02-26,2024-08-22,24 tahun 5 bulan,293.0,1,1,0,0,Dikabulkan,2024.0,8.0
345/Pdt.G/2024/PN Bks,Bekasi Timur,Perempuan,Laki Laki,2007-02-04,2024-08-29,17 tahun 6 bulan,210.0,1,0,0,1,Dikabulkan,2024.0,8.0
350/Pdt.G/2024/PN Bks,Jatiasih,Perempuan,Laki Laki,2012-09-30,2024-12-03,12 tahun 2 bulan,146.0,1,0,1,1,Dikabulkan,2024.0,12.0
351/Pdt.G/2024/PN Bks,Bekasi Timur,Perempuan,Laki Laki,2017-01-08,2024-09-05,7 tahun 7 bulan,91.0,1,0,1,1,Dikabulkan,2024.0,9.0
353/Pdt.G/2024/PN Bks,Kota Bekasi,Laki Laki,Perempuan,2006-12-28,2024-11-28,17 tahun 11 bulan,215.0,0,1,0,0,Dikabulkan,2024.0,11.0
356/Pdt.G/2024/PN Bks,Bekasi Utara,Laki Laki,Perempuan,2023-04-29,2024-08-29,1 tahun 4 bulan,16.0,1,0,0,0,Dikabulkan,2024.0,8.0
358/Pdt.G/2024/PN Bks,Pondok Melati,Laki Laki,Perempuan,2016-02-13,2024-11-19,8 tahun 9 bulan,105.0,0,1,0,0,Dikabulkan,2024.0,11.0
361/Pdt.G/2024/PN Bks,Medan Satria,Laki Laki,Perempuan,2017-06-17,2024-09-12,7 tahun 2 bulan,86.0,1,0,0,0,Dikabulkan,2024.0,9.0
367/Pdt.G/2024/PN Bks,Cileungsi,Laki Laki,Perempuan,2016-06-18,2024-10-31,8 tahun 4 bulan,100.0,1,1,0,0,Dikabulkan,2024.0,10.0
370/Pdt.G/2024/PN Bks,Pondokgede,Perempuan,Laki Laki,1997-06-26,2024-10-03,27 tahun 3 bulan,327.0,1,0,0,1,Dikabulkan,2024.0,10.0
371/Pdt.G/2024/PN Bks,Rawalumbu,Perempuan,Laki Laki,2019-03-02,2024-10-22,5 tahun 7 bulan,67.0,1,0,1,0,Dikabulkan,2024.0,10.0
374/Pdt.G/2024/PN Bks,Bekasi Barat,Laki Laki,Perempuan,2013-12-01,2024-11-07,10 tahun 11 bulan,131.0,1,0,0,0,Dikabulkan,2024.0,11.0
380/Pdt.G/2024/PN Bks,Medan Satria,Perempuan,Laki Laki,1997-04-01,2024-09-26,27 tahun 5 bulan,329.0,1,0,1,1,Dikabulkan,2024.0,9.0
381/Pdt.G/2024/PN Bks,Bekasi Utara,Laki Laki,Perempuan,2015-08-04,2024-10-01,9 tahun 1 bulan,109.0,1,1,0,0,Dikabulkan,2024.0,10.0
389/Pdt.G/2024/PN Bks,Bekasi Utara,Tidak diketahui,Tidak diketahui,,,,,0,0,0,0,Cabut Laporan,,
395/Pdt.G/2024/PN Bks,Bekasi Timur,Laki Laki,Perempuan,1994-10-21,2024-10-15,29 tahun 11 bulan,359.0,1,0,0,0,Dikabulkan,2024.0,10.0
399/Pdt.G/2024/PN Bks,Bekasi Selatan,Laki Laki,Perempuan,2005-12-28,2024-11-26,18 tahun 10 bulan,226.0,1,0,0,1,Dikabulkan,2024.0,11.0
404/Pdt.G/2024/PN Bks,Kota Bekasi,Perempuan,Laki Laki,2009-12-05,,,,1,0,0,1,Cabut Laporan,,
408/Pdt.G/2024/PN Bks,Bekasi Selatan,Laki Laki,Perempuan,2007-09-02,,,,1,1,0,0,Ditolak,,
409/Pdt.G/2024/PN Bks,Jatiasih,Laki Laki,Perempuan,2009-06-21,,,,0,1,0,1,Ditolak,,
416/Pdt.G/2024/PN Bks,Jatiasih,Perempuan,Laki Laki,2013-07-07,2024-10-15,11 tahun 3 bulan,135.0,1,0,0,0,Dikabulkan,2024.0,10.0
428/Pdt.G/2024/PN Bks,Jatisampurna,Perempuan,Laki Laki,2011-09-25,2024-11-26,13 tahun 2 bulan,166.0,1,0,1,1,Dikabulkan,2024.0,11.0
435/Pdt.G/2024/PN Bks,Medan Satria,Perempuan,Laki Laki,2012-02-04,2024-12-05,12 tahun 10 bulan,154.0,1,1,1,1,Dikabulkan,2024.0,12.0
